Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,4.259968242750217,3.272674015714138,1.6624258825098743,-0.03706453716527952,Iris-setosa
1,5.227665179868363,3.6753464599639334,1.4819144266207054,0.2744944278286591,Iris-setosa
2,4.63691037260303,2.890790511308399,1.3323850707176232,0.10814700407147321,Iris-setosa
3,4.929361657466917,3.7028654428369236,1.5202749085102947,0.26879569744642656,Iris-setosa
4,4.757380558686095,2.8371339002923466,1.4256099611195554,0.16911248352392103,Iris-setosa
5,4.344461425948981,3.013471402840193,1.4319535949902085,0.34170337985962074,Iris-setosa
6,4.796910197564248,3.6109256316987937,1.7618888165825088,0.28064015482581417,Iris-setosa
7,4.995468958653375,3.438095642285721,1.3077214920224274,0.17187308092889308,Iris-setosa
8,4.8686101773772,3.394620008308057,1.7839979762366356,0.356663604269669,Iris-setosa
9,4.824553581708584,2.692960636263052,1.5145197755332747,0.27396013846128264,Iris-setosa
10,4.986340895383842,4.271171320145487,1.5555216650607493,0.08222786508906096,Iris-setosa
11,4.705324700030008,3.5413009125803745,1.530315308789985,0.30625890764049013,Iris-setosa
12,5.1522783925067674,3.7470028551297263,1.4863311574435394,0.3005477011858943,Iris-setosa
13,4.9799957312542205,3.5829571485757703,1.6973451559015602,0.2691241304940137,Iris-setosa
14,4.965801627953569,3.926866647468656,1.7788903184707219,0.13893899394556009,Iris-setosa
15,5.296426814796111,3.190810997230663,1.6046768419455752,0.34569344053157564,Iris-setosa
16,4.882734896058126,3.853059327603061,1.4764941752300234,0.3519784426573937,Iris-setosa
17,4.757201190102548,3.1834806602316372,1.085152854683323,0.09185654802498436,Iris-setosa
18,4.745068669006944,3.6127455431035687,1.2366417064272281,0.17406739164417387,Iris-setosa
19,4.996012752371024,3.3358767458173353,1.57070477044585,0.3955474817357364,Iris-setosa
20,5.237821454921497,3.4340038294026582,1.6278275693955828,0.3085907938256054,Iris-setosa
21,4.90612924493411,3.49596180490154,1.567510777159872,0.3247895043426051,Iris-setosa
22,5.0417811666840695,3.24985788279048,1.5231171235720524,0.1677323181570458,Iris-setosa
23,4.671219744581576,4.04331980770773,1.4947851074908587,0.2471277554305406,Iris-setosa
24,5.1988742594821185,2.423339317876108,1.432671892920088,-0.008214518687771788,Iris-setosa
25,5.124569329471005,3.0590493338601012,1.4831162496652406,0.2130599378890638,Iris-setosa
26,4.7030310382582154,3.3815938441365176,1.5376122092430409,0.44351081594263864,Iris-setosa
27,4.958937219084019,3.4109790912876377,1.6472558115524243,0.41362223846426993,Iris-setosa
28,5.397512461384548,2.6696244417421258,1.6579717619968481,0.29549909949914094,Iris-setosa
29,5.040963509680336,3.5644562753999125,1.6453472223729189,0.20041228180840853,Iris-setosa
30,4.843778269441092,3.5816464972143423,1.6437213916693778,0.3780281962263803,Iris-setosa
31,4.914983061670146,2.8027071843992974,1.733477012784513,0.29582804561188597,Iris-setosa
32,5.2302592415190245,3.9010312133313474,1.2452507096250125,0.4001789033417643,Iris-setosa
33,5.585662482465981,3.3700021158051428,1.382466902189906,0.24540159691276006,Iris-setosa
34,5.254413258858901,3.350679561386965,1.678732173024406,0.2073177573692241,Iris-setosa
35,5.7616162359859,3.195453711509335,1.4263567010978246,0.4235811881340091,Iris-setosa
36,5.33329661638788,3.3077641849493142,1.6283717633199877,0.23573534841676022,Iris-setosa
37,4.79837464503842,3.47706461299846,1.57290201380207,0.30091481949768756,Iris-setosa
38,4.979366594865292,3.1753180659668288,1.675595650529647,0.33661282416226257,Iris-setosa
39,4.355217999567931,3.33992075570165,1.6075860415224905,0.3890582687747418,Iris-setosa
40,4.949563008450938,4.014878703791805,1.6166417765163419,0.1542641874651689,Iris-setosa
41,5.007274960295283,3.5203533719598012,1.5503393021406011,0.10368613649723166,Iris-setosa
42,4.975136218943363,3.6817239439874507,1.6047132274943152,0.36785134915180473,Iris-setosa
43,4.049342581156054,3.896279262103588,1.441329886929217,0.22198327370530888,Iris-setosa
44,6.061727371612271,3.2642413887772284,1.5984207709864253,0.3716256907547168,Iris-setosa
45,4.796407967356159,2.963320343286099,1.3638186840408366,0.2371197574331428,Iris-setosa
46,5.34402695249569,3.5103423756639183,1.1954356594508502,0.00037881450361554325,Iris-setosa
47,4.905165058561324,3.613601068885734,1.5335949492526693,0.32488500101119855,Iris-setosa
48,5.299598783096753,3.031774003730499,1.233182736065426,0.35788684817883765,Iris-setosa
49,5.588552595248952,3.4710545512831716,1.5074141618305135,0.19703806053226425,Iris-setosa
50,5.090547527602677,3.344068197365676,1.1689415429104935,0.2301888660148573,Iris-setosa
51,5.291347660697002,3.1124502158123653,1.7553572012208156,0.1661587198376394,Iris-setosa
52,5.332340223758417,3.168416178509959,1.8727623544296002,0.17864579545297088,Iris-setosa
53,5.295571681226175,3.516640593805423,1.394408240391318,0.4426120475850083,Iris-setosa
54,4.992995010836258,3.6936852710189987,1.4387710249504004,0.281167542993173,Iris-setosa
55,4.939620151033231,3.4208391050986178,1.2569083590289154,0.2826524334760906,Iris-setosa
56,5.395619776708308,3.8980181273390127,1.5131972005884218,0.17394044576537065,Iris-setosa
57,5.056406434401309,2.791789316707433,1.2741309158224432,0.08654478869874802,Iris-setosa
58,5.028872629412503,3.140615861938182,1.6929947459536994,0.12597222160429122,Iris-setosa
59,4.524837460870669,3.5952324299509946,1.3182185965353965,0.32205121295273187,Iris-setosa
60,5.185385717758966,3.7331193996765175,1.657100617356746,0.04618951883426298,Iris-setosa
61,5.20729639353607,3.5025530162712153,1.2444968428735217,0.4236159857902567,Iris-setosa
